FAMILY,Inno3-VI Trim Options Production(targets),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REV,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,18-May-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT,"Comments: You may include as many comment lines as you like, so long as they are preceded by the COMMENT keyword.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT,Usage: The first column of each line must begin with a valid keyword.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT,"Keywords: The set of valid keywords are { FAMILY, REV, DATE, COMMENT, BEGIN TRIMOPS, UNIT, HEADER, TRIMOPS, END TRIMOPS }.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT,"Keywords: The minimum valid set and order for keywords is { DATE, REV, BEGIN TRIMOPS, UNIT, HEADER, TRIMOPS, END TRIMOPS }.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMENT,Instructions: This file must be saved as a Comma Separated Value (CSV) file for use in test programs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGIN TRIMOPS,1,,,,2,3,4,,,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,42,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEADER,Part ID,Hcode,,,Hcode,Trim_code,Family,DLM BV,DLM Size,DevNum,Die Size,iOV+,ILIM,tOVL,Fosc_P,IovOFF,Iuv-_10uA,uv_dly,AR_latch,AR_off,didtComp,OT_hys,OT_latch,ILIM_sel_OFF,ILIM_sel,ILIM_less,ILIM_more,Samsung,OTP_code,Vpin_ctrl_iREF,Rcv,BVD_Rm,BVD_Hot,Driver_Size,Rs_up,Vx_adj,ILIM+1/ILIM,ILIM_TC,AR_req,Fosc_S,Isvth,CV,SdwReg[0],SdwReg[1],SdwReg[2],SdwReg[3],SdwReg[4],SdwReg[5],SdwReg[6],SdwReg[7],SdwReg[8],SdwReg[9],SdwReg[10],SdwReg[11],SdwReg[12],SdwReg[13],SdwReg[14],SdwReg[15],SdwReg[16],SdwReg[17],SdwReg[18],SdwReg[19],SdwReg[20],SdwReg[21],SdwReg[22],SdwReg[23],SdwReg[24],SdwReg[25],SdwReg[26],SdwReg[27],SdwReg[28],SdwReg[29],SdwReg[30],SdwReg[31],SdwReg[32],SdwReg[33],SdwReg[34],SdwReg[35],SdwReg[36],SdwReg[37],SdwReg[38],SdwReg[39],SdwReg[40],SdwReg[41],SdwReg[42],SdwReg[43],SdwReg[44],SdwReg[45],SdwReg[46],SdwReg[47],SdwReg[48],SdwReg[49],SdwReg[50],SdwReg[51],SdwReg[52],SdwReg[53],SdwReg[54],SdwReg[55],SdwReg[56],SdwReg[57],SdwReg[58],SdwReg[59],SdwReg[60],SdwReg[61],SdwReg[62],SdwReg[63],SdwReg[64],SdwReg[65],SdwReg[66],SdwReg[67],SdwReg[68],SdwReg[69],SdwReg[70],SdwReg[71],SdwReg[72],SdwReg[73],SdwReg[74],SdwReg[75],SdwReg[76],SdwReg[77],SdwReg[78],SdwReg[79],SdwReg[80],SdwReg[81],SdwReg[82],SdwReg[83],SdwReg[84],SdwReg[85],SdwReg[86],SdwReg[87],SdwReg[88],SdwReg[89],SdwReg[90],SdwReg[91],SdwReg[92],SdwReg[93],SdwReg[94],SdwReg[95],SdwReg[96],SdwReg[97],SdwReg[98],SdwReg[99],SdwReg[100],SdwReg[101],SdwReg[102],SdwReg[103],SdwReg[104],SdwReg[105],SdwReg[106],SdwReg[107],SdwReg[108],SdwReg[109],SdwReg[110],SdwReg[111],SdwReg[112],SdwReg[113],SdwReg[114],SdwReg[115],SdwReg[116],SdwReg[117],SdwReg[118],SdwReg[119],SdwReg[120],SdwReg[121],SdwReg[122],SdwReg[123],SdwReg[124],SdwReg[125],SdwReg[126],SdwReg[127]
UNIT,(none),HX,HC,H_Eng,(none),(none),(none),(none),(none),(none),(none),(uA),(mA),(us),(kHz),bit 16,bit 17,bit 18,bit 19,bit 20,bit 21,bit 22,bit 23,bit 24,bit 25,bit 26,bit 27,bit 28,"bit 29,30,31",bit 32,"bit 33,34,35",(V),(V),"bit 36,37,38,39",bit 40,bits 41 to 45,bits 46 to 49,bits 50 to 53,bit 54,(kHz),(V),(V),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
TRIMOPS,INN3375golden,,,,,,3,7,5,5,5,115,950,9.1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,750,705,10,0,31,6,0,0,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIMOPS,INN3376golden,,,,,,3,7,6,6,6,115,1250,9.1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,750,705,9,0,20,5,0,0,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIMOPS,INN3377golden,,,,,,3,7,7,7,7,115,1350,9.1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,750,705,13,0,22,10,0,0,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIMOPS,INN3368golden,,,,,,3,6,8,8,8,115,1650,9.1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,675,630,13,0,17,11,0,0,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIMOPS,INN3365C-H301-TL,H301,,HP22,,,3,6,5,5,5,115,950,9.1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,675,630,6,0,10,6,0,0,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIMOPS,INN3366C-H301-TL,H301,,HP23,,,3,6,6,6,6,115,1250,9.1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,675,630,10,0,23,5,0,0,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIMOPS,INN3367C-H301-TL,H301,,HP24,,,3,6,7,7,7,115,1450,9.1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,675,630,8,0,21,10,0,0,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIMOPS,INN3368C-H301-TL,H301,,HP25,,,3,6,8,8,8,115,1650,9.1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,675,630,13,0,17,11,0,0,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIMOPS,INN3375C-H301-TL,H301,,HP26,,,3,7,5,5,5,115,950,9.1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,750,705,10,0,31,6,0,0,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIMOPS,INN3376C-H301-TL,H301,,HP27,,,3,7,6,6,6,115,1250,9.1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,750,705,9,0,20,5,0,0,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIMOPS,INN3377C-H301-TL,H301,,HP28,,,3,7,7,7,7,115,1350,9.1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,750,705,13,0,22,10,0,0,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIMOPS,SC1738C-TL,,HC00,HP31,,,3,6,8,8,8,115,1850,9.1,25,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,675,630,13,0,17,11,0,1,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRIMOPS,SC1750C-TL,,HC01,HP32,,,3,7,7,7,7,115,1550,9.1,25,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,750,705,13,0,22,10,0,1,132,0.032,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
